level1,level2,level3,word,kw_tag,pre_words,exclude_words
EA/电动系统,高压动力电池,电池容量,容量,,"电池,续航,里程,安时,千瓦,Kw","蓄电池,电瓶,箱,硬盘,升,L,低压,12V,夸大电池,加拿大电池,各大电池"
EA/电动系统,高压动力电池,电池寿命,"寿命,几年,老化,衰减",,电池,"蓄电池,电瓶,低压,12V"
EA/电动系统,高压动力电池,电池安全,"安全,爆炸,自燃,隐患,碰撞,穿刺,炸弹,保护,防护,托底",,电池,"蓄电池,电瓶,低压,12V"
EA/电动系统,高压动力电池,电池材料,"电池材料,铅酸,镍氢,钠硫,二次锂,空气电池,三元锂,氢燃料,燃料电池,磷酸铁锂",,,"蓄电池,电瓶,低压,12V"
EA/电动系统,高压动力电池,电池布局,"布局,布置,放置,突起,凸起",,电池,"蓄电池,电瓶,低压,12V,企业,宁德,车业,车企"
EA/电动系统,高压动力电池,电池低温性能,"冬,低温,冷,气温",,"电池,续航,里程","蓄电池,电瓶,低压,12V"
EA/电动系统,高压动力电池,电池其他,电池,,,"蓄电池,电瓶,低压,12V,容量,寿命,几年,老化,衰减,电池材料,铅酸,镍氢,钠硫,二次锂,空气电池,三元锂,氢燃料,燃料电池,磷酸铁锂,布局,布置,放置,突起,凸起,冬,低温,冷,气温"
EA/电动系统,电动机,电动机噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动,静",,"电机,电动机","雨刷,雨刮,后视镜,玻璃,窗,遮阳帘,座椅,后备箱"
EA/电动系统,电动机,电动机功率/扭矩,"功率,马力,扭矩",,"电机,电动机","雨刷,雨刮,后视镜,玻璃,窗,遮阳帘,座椅,后备箱"
EA/电动系统,电动机,电动机类型,"直流电动机,直流电机,异步电动机,异步电机,永磁,开关磁阻, 感应电机,感应电动机,交流电机,交流电动机",,,"雨刷,雨刮,后视镜,玻璃,窗,遮阳帘,座椅,后备箱"
EA/电动系统,电动机,电动机个数,"电机数量,电动机数量,单电机,双电机,三电机,四电机,1个电机,2个电机,3个电机,4个电机",,,"雨刷,雨刮,后视镜,玻璃,窗,遮阳帘,座椅,后备箱"
EA/电动系统,电动机,电动机布局,"布局,四驱,前置,后置",,"电机,电动机","雨刷,雨刮,后视镜,玻璃,窗,遮阳帘,座椅,后备箱"
EA/电动系统,电动机,电动机其他,"电机,电动机",,,"雨刷,雨刮,后视镜,玻璃,窗,遮阳帘,座椅,后备箱"
EA/电动系统,充电,充电方式,"充电模式,充电方式,快充,慢充,换电,移动充电,直流充电,交流充电",,,手机
EA/电动系统,充电,充电时长,"慢,耗时,时长,时间长,时间短,时间快,时间慢",,"充电,补能","慢充,手机,快充,USB"
EA/电动系统,充电,充电功率,"功率,千瓦,kw",,充电,"手机,USB"
EA/电动系统,充电,充电报错,"中止,停止,暂停,故障,报错,错误,失败,无法,没法,充不进去",,充电,"手机,USB"
EA/电动系统,充电,公共充电/外部充电服务,"公共,网络,车位,兼容,数量,方便",,"充电,补能","手机,自己,家庭,私人,家,壁挂,墙盒,4G,网络媒体"
EA/电动系统,充电,壁挂式充电/家庭充电,"壁挂,家庭,小区,私人,家用,安装,墙盒",,充电,"手机,公共"
EA/电动系统,充电,充电系统其他,充电,,,"手机,充电模式,充电方式,快充,慢充,换电,移动充电,直流充电,交流充电,慢,耗时,时长,时间长,时间短,时间快,时间慢,功率,千瓦,kw,中止,停止,暂停,故障,报错,错误,失败,无法,没法,充不进去,公共,网络,车位,兼容,数量,方便,壁挂,家庭,小区,私人,家用,安装,墙盒"
EA/电动系统,性能/设计,续航里程,"电行驶里程,电最大里程,续航,续驶",,,
EA/电动系统,性能/设计,电量消耗,"耗电,电耗,电量消耗,电能消耗,费电,省电",,,"蓄电池,电瓶,钥匙,低压,12V"
EA/电动系统,性能/设计,能量回收,回收,,"能量,动能","发动机,燃油,传统"
EA/电动系统,性能/设计,加速性 (EV),"加速,提速,动力",,,"发动机,燃油,传统,舒适,舒服,不适,晕,平顺,顺畅,卡顿,顿挫,不习惯,推背,流畅,起步,超车"
EA/电动系统,性能/设计,起步性能 (EV),"加速,提速,快,慢,猛,肉,给力",,起步,"发动机,燃油,传统"
EA/电动系统,性能/设计,超车性能 (EV),"加速,提速,快,慢,猛,肉,给力",,超车,"发动机,燃油,传统"
EA/电动系统,性能/设计,电动系统舒适性 (EV),"舒适,舒服,不适,晕,平顺,顺畅,卡顿,顿挫,不习惯,流畅,线性,平稳",,"加速,提速,动力","发动机,燃油,传统"
EA/电动系统,性能/设计,混合动力类型,"重混,插电,混合动力,混动,PHEV,增程",,,
EA/电动系统,性能/设计,设计/品牌 (EV),"设计,功能,老牌,品牌",,"新能源,电动","发动机,燃油,传统"
EA/电动系统,性能/设计,电动系统NVH (EV),"NVH,噪音,震动,振动,异响,静",,"加速,提速,起步,高速","发动机,燃油,传统"
EA/电动系统,性能/设计,换挡设备 (EV),"换挡装置,换挡设备,换挡手柄,换挡球头,档杆球头,拨片换挡,换挡拨片,怀挡,换挡操纵杆,换挡旋钮,旋钮式换挡,换挡按钮,按钮式换挡",,,"发动机,燃油,传统"
EA/电动系统,性能/设计,驾驶模式 (EV),模式,,"驾驶,经济,越野,舒适,省油,节油,暴躁,运动,节能,AutoeDrive,MaxeDrive,BATTERY CONTROL","发动机,燃油,传统"
EA/电动系统,性能/设计,车辆启动 (EV),"自检,通电",,启动,"发动机,燃油,传统"
EA/电动系统,性能/设计,电动系统信息显示 (EV),"报警,警报,行车信息",,仪表,"发动机,燃油,传统"
EA/供油系统,油箱,油箱容量,"油箱大小,油箱容积,L油箱,升油箱",,,
EA/供油系统,油箱,燃油标号,"92,95,98,96,97,93",,油,A96
EA/供油系统,油箱,油箱变形,变形,,油箱,
EA/供油系统,油箱,油箱漏油,"漏油,渗油,泄漏,泄露,密封",,油箱,
EA/供油系统,油箱,油箱其他,油箱,,,"变形,漏油,渗油,泄漏,泄露,密封"
EA/供油系统,燃油泵,燃油泵噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,油泵,机油泵
EA/供油系统,燃油泵,燃油泵其他,油泵,,,"机油泵,噪音,异响,声音,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼"
