g68_test_result.dt,g68_test_result.platform,g68_test_result.forum_name,g68_test_result.brand,g68_test_result.car_series,g68_test_result.car_model,g68_test_result.content_id,g68_test_result.content_type,g68_test_result.content,g68_test_result.energy_type,g68_test_result.driven_kiloms,g68_test_result.url,g68_test_result.nlp_level_1,g68_test_result.nlp_level_2,g68_test_result.nlp_level_3,g68_test_result.nlp_level_4,g68_test_result.nlp_matched_key,g68_test_result.nlp_summaries,g68_test_result.nlp_rating,g68_test_result.nlp_total_score,g68_test_result.nlp_extra_data,g68_test_result.nlp_time,g68_test_result.nlp_unique_id,g68_test_result.nlp_sentiment
2024-04-02,懂车帝,,宝马,宝马5系,G68,7352942880912589595,comment,到现在为止我还没在街上见过新5,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:31,6517957770179797252_1_1,positive
2024-05-24,autohome,宝马5系论坛,宝马,宝马5系,G68,108252043-1445653077,comment,24款5系加宽了3厘米但是从侧面看老款5系更好看更有气势，我的20款5系就是喜欢从侧面看那修长的车头看着舒服,油车,NULL,http://club.autohome.com.cn/bbs/thread/277aea821f0df0fc,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:31,6532057104033125243_1_1,positive
2024-05-09,懂车帝,,宝马,宝马5系,G68,7366602064245474099,comment,前面两代5系我觉得颜值都不错，就这一代开始颜值崩了，其实不止5系，整个宝马品牌的设计语言都在往另类的方向发展，比如X7，比如新5系,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:32,6558441407813843944_1_1,positive
2024-04-13,懂车帝,,宝马,宝马5系,G68,7356988422244434726,comment,新款5系没老款好看，价格还蛮贵的，我3月份陪朋友去了南京江宁区东麒路4S店看的，要看X3，销售一个劲推销5系，新车优惠2万，就没了，落地48左右，X3价格也贵比其他店，后来朋友直接买了glc260,油车,NULL,,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:32,6566588326134550960_1_1,negative
2024-03-05,懂车帝,,宝马,宝马5系,G68,7342776042722951218,content,解锁全新5系购车礼遇,油车,NULL,https://www.dongchedi.com/ugc/article/7342776042722951218,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:33,6567762157545184441_1_1,positive
2024-03-21,懂车帝,,宝马,宝马5系,G68,7348432533115241253,comment,日产蓝鸟的设计师设计的宝马5系G68,油车,NULL,,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:33,6612098103944285370_1_1,neutral
2024-04-30,懂车帝,,宝马,宝马5系,G68,7363541349780063030,comment,周末去保养，发现宝马4s店居然没有新5系展车，就知道这玩意确实卖的不好,油车,NULL,,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,6644943593353542519_1_1,negative
2024-01-18,懂车帝,,宝马,宝马5系,G68,7325317668499030820,comment,买个新5系,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,6692872809509401678_1_1,positive
2024-03-14,懂车帝,,宝马,宝马5系,G68,7346017777075045131,comment,新5主要是丑，不可容忍地步[我想静静],油车,NULL,,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,6700233724154647872_1_1,negative
2024-04-04,懂车帝,,宝马,宝马5系,G68,1795382364481539,content,兄弟们，新款525多少落地合适,油车,NULL,https://www.dongchedi.com/ugc/article/1795382364481539,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,6740741034614993548_1_1,positive
